Iceland;0.912
Norway;0.879
Finland;0.863
New Zealand;0.856
Sweden;0.815
Germany;0.815
Nicaragua;0.811
Namibia;0.802
Lithuania;0.800
Belgium;0.796
Ireland;0.795
Rwanda;0.794
Latvia;0.794
Costa Rica;0.793
United Kingdom;0.792
Philippines;0.791
Albania;0.791
Spain;0.791
Moldova;0.788
South Africa;0.787
Switzerland;0.783
Estonia;0.782
Denmark;0.780
Jamaica;0.779
Mozambique;0.778
Australia;0.778
Chile;0.777
Netherlands;0.777
Slovenia;0.773
Canada;0.770
Barbados;0.769
Portugal;0.765
Mexico;0.765
Peru;0.764
Burundi;0.763
Argentina;0.762
Cabo Verde;0.761
Republic of Serbia;0.760
Liberia;0.760
France;0.756
Belarus;0.752
Colombia;0.751
United States of America;0.748
Luxembourg;0.747
Zimbabwe;0.746
Eswatini;0.745
Austria;0.740
United Republic of Tanzania;0.740
Singapore;0.739
Ecuador;0.737
Madagascar;0.737
Suriname;0.736
Honduras;0.735
Laos;0.733
Croatia;0.730
Bolivia;0.730
Brazil;0.726
Panama;0.724
Bangladesh;0.722
Poland;0.722
Armenia;0.721
Kazakhstan;0.721
Slovakia;0.720
Botswana;0.719
Bulgaria;0.715
Ukraine;0.714
Uruguay;0.714
El Salvador;0.714
Montenegro;0.714
Malta;0.713
United Arab Emirates;0.712
Vietnam;0.711
Macedonia;0.711
Thailand;0.711
Ethiopia;0.711
Georgia;0.708
Kenya;0.708
Uganda;0.706
Italy;0.705
Mongolia;0.704
Dominican Republic;0.704
Lesotho;0.702
Israel;0.701
Kyrgyzstan;0.700
Zambia;0.699
Bosnia and Herzegovina;0.698
Indonesia;0.697
Romania;0.697
Belize;0.696
Togo;0.696
Paraguay;0.695
Cambodia;0.695
Greece;0.693
Cameroon;0.693
East Timor;0.693
Brunei;0.693
Azerbaijan;0.692
Mauritius;0.689
Hungary;0.689
Ghana;0.688
Czechia;0.685
Malaysia;0.682
Bhutan;0.682
Senegal;0.680
North Korea;0.680
South Korea;0.680
Cyprus;0.678
China;0.678
Vanuatu;0.678
Burkina Faso;0.676
Malawi;0.676
Tajikistan;0.672
Sierra Leone;0.667
Bahrain;0.666
Comoros;0.664
Sri Lanka;0.663
Nepal;0.659
Guatemala;0.659
Angola;0.656
Gambia;0.651
Kuwait;0.651
Fiji;0.650
Ivory Coast;0.650
Myanmar;0.650
Maldives;0.649
Japan;0.647
Jordan;0.646
India;0.643
Tunisia;0.642
Turkey;0.638
Nigeria;0.637
Saudi Arabia;0.637
Lebanon;0.628
Qatar;0.627
Egypt;0.626
Niger;0.622
Morocco;0.621
Guinea-Bissau;0.617
Benin;0.616
Oman;0.614
Republic of the Congo;0.612
Mali;0.605
Pakistan;0.575
Iran;0.575
Algeria;0.573
Chad;0.570
Afghanistan;0.405